name	x	y	z
Fp1	-0.03090258833242555	0.114585178792428	0.02786657432908913
Fz	-0.001229271161566281	0.09327445200029715	0.1026392934768164
F3	-0.05180903841183724	0.08668789888287941	0.07871409302883386
F7	-0.07187662505917264	0.07310352742670875	0.025790455878913307
FC5	-0.07890597635539306	0.05136738419239063	0.062962347939219
FC1	-0.03571586037883836	0.06171405984105545	0.11798301537735344
Cz	-0.0013741334028190722	0.027617093595102737	0.14019949417439556
C3	-0.0671487229331174	0.023358230537446293	0.10451068106024831
T7	-0.08598207795805729	0.014871638175652204	0.031173373739044698
CP5	-0.08151351110863697	-0.013345693814222136	0.07313262712367305
CP1	-0.03742512541749303	-0.0108242377168398	0.13344371157184132
P3	-0.0550382318026169	-0.04421030466234088	0.09990897692200874
P7	-0.07445796452347851	-0.042123164958505765	0.04127363138738122
Pz	-0.001709445046746896	-0.045212993324122014	0.12667292418209622
O1	-0.03157355787465608	-0.08056835212663661	0.05478964562404762
Oz	-0.0020602461029908406	-0.0827829905012281	0.06073663060773575
O2	0.027683100559624117	-0.08048883980936473	0.0547340814777941
P4	0.05363601546337514	-0.04433452185507687	0.100516027732151
P8	0.07103247088902218	-0.04225997601209522	0.0411988627819509
CP6	0.08140110772413488	-0.013462042634867975	0.07336367003861291
CP2	0.036471959575241124	-0.010903791502932459	0.1328122726312171
C4	0.06532888071838541	0.0235731049615695	0.10369243420047652
T8	0.08326136985759491	0.015258189278681372	0.030972968524059938
FC6	0.0778466192866476	0.052098811200362666	0.06286710628925257
FC2	0.033130982370817734	0.06182848606183057	0.1167816981344542
F4	0.050274277731628736	0.08743838910239796	0.07727065434234194
F8	0.07143526925150917	0.07450512647808137	0.025101027393177114
Fp2	0.028409495337624727	0.11534630990164213	0.027721257722525875
EOGR	n/a	n/a	n/a
EOGU	n/a	n/a	n/a
EOGD	n/a	n/a	n/a
EOGL	n/a	n/a	n/a
ECG	n/a	n/a	n/a
GSR	n/a	n/a	n/a
x_dir	n/a	n/a	n/a
y_dir	n/a	n/a	n/a
z_dir	n/a	n/a	n/a
MkIdx	n/a	n/a	n/a
